WKT,fishing_category_FO,mw_fishinghours,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-34.4 39.15,-34.4 39.2,-34.35 39.2,-34.35 39.15,-34.4 39.15))",Static,0.4868485,Azores,07B5,7303:394:113:4,39.175,-34.375
"POLYGON ((-32.55 37.6,-32.55 37.65,-32.5 37.65,-32.5 37.6,-32.55 37.6))",Static,0.143153275,Azores,04B7,7303:372:465:1,37.625,-32.525
"POLYGON ((-31.55 36.1,-31.55 36.15,-31.5 36.15,-31.5 36.1,-31.55 36.1))",Static,0.0951289583333332,Azores,01B8,7303:361:215:1,36.125,-31.525
"POLYGON ((-33.75 41.6,-33.75 41.65,-33.7 41.65,-33.7 41.6,-33.75 41.6))",Static,0.2026255,Azores,12B6,7403:113:467:1,41.625,-33.725
"POLYGON ((-22.75 36.05,-22.75 36.1,-22.7 36.1,-22.7 36.05,-22.75 36.05))",Static,24.1642075,Azores,01C7,7302:362:207:3,36.075,-22.725
"POLYGON ((-30.7 36.0,-30.7 36.05,-30.65 36.05,-30.65 36.0,-30.7 36.0))",Static,1.319692,Azores,01B9,7303:360:206:2,36.025,-30.675
"POLYGON ((-31.8 36.95,-31.8 37.0,-31.75 37.0,-31.75 36.95,-31.8 36.95))",Static,0.1103248,Azores,02B8,7303:361:497:4,36.975,-31.775
"POLYGON ((-33.8 40.2,-33.8 40.25,-33.75 40.25,-33.75 40.2,-33.8 40.2))",Static,0.109575833333333,Azores,09B6,7403:103:227:2,40.225,-33.775
"POLYGON ((-33.1 37.85,-33.1 37.9,-33.05 37.9,-33.05 37.85,-33.1 37.85))",Static,0.06671875,Azores,04B6,7303:373:380:4,37.875,-33.075
"POLYGON ((-32.1 37.6,-32.1 37.65,-32.05 37.65,-32.05 37.6,-32.1 37.6))",Static,0.1546825,Azores,04B7,7303:372:360:2,37.625,-32.075
"POLYGON ((-34.35 37.8,-34.35 37.85,-34.3 37.85,-34.3 37.8,-34.35 37.8))",Static,0.050472425,Azores,04B5,7303:374:383:1,37.825,-34.325
"POLYGON ((-25.05 39.9,-25.05 39.95,-25.0 39.95,-25.0 39.9,-25.05 39.9))",Static,0.0776488666666667,Azores,08C4,7302:495:390:1,39.925,-25.025
"POLYGON ((-22.9 36.1,-22.9 36.15,-22.85 36.15,-22.85 36.1,-22.9 36.1))",Static,53.8313475525,Azores,01C7,7302:362:218:2,36.125,-22.875
"POLYGON ((-27.6 41.55,-27.6 41.6,-27.55 41.6,-27.55 41.55,-27.6 41.55))",Static,0.078184,Azores,12C2,7402:217:455:4,41.575,-27.575
"POLYGON ((-30.75 36.7,-30.75 36.75,-30.7 36.75,-30.7 36.7,-30.75 36.7))",Static,0.0663541666666668,Azores,02B9,7303:360:477:1,36.725,-30.725
"POLYGON ((-33.3 36.45,-33.3 36.5,-33.25 36.5,-33.25 36.45,-33.3 36.45))",Static,0.12352725,Azores,01B6,7303:363:142:4,36.475,-33.275
"POLYGON ((-33.8 37.6,-33.8 37.65,-33.75 37.65,-33.75 37.6,-33.8 37.6))",Static,0.21191113125,Azores,04B6,7303:373:467:2,37.625,-33.775
"POLYGON ((-32.75 37.3,-32.75 37.35,-32.7 37.35,-32.7 37.3,-32.75 37.3))",Static,0.075149575,Azores,03B7,7303:372:237:1,37.325,-32.725
"POLYGON ((-28.35 41.7,-28.35 41.75,-28.3 41.75,-28.3 41.7,-28.35 41.7))",Static,0.038077875,Azores,12C1,7402:218:373:1,41.725,-28.325
"POLYGON ((-34.15 38.05,-34.15 38.1,-34.1 38.1,-34.1 38.05,-34.15 38.05))",Static,0.06671875,Azores,05B5,7303:384:101:3,38.075,-34.125
"POLYGON ((-31.65 36.6,-31.65 36.65,-31.6 36.65,-31.6 36.6,-31.65 36.6))",Static,0.11213325,Azores,02B8,7303:361:466:1,36.625,-31.625
"POLYGON ((-32.9 36.85,-32.9 36.9,-32.85 36.9,-32.85 36.85,-32.9 36.85))",Static,0.12352725,Azores,02B7,7303:362:488:4,36.875,-32.875
"POLYGON ((-28.45 41.1,-28.45 41.15,-28.4 41.15,-28.4 41.1,-28.45 41.1))",Static,0.123498375,Azores,11C1,7402:218:114:1,41.125,-28.425
"POLYGON ((-33.9 40.85,-33.9 40.9,-33.85 40.9,-33.85 40.85,-33.9 40.85))",Static,0.146605825,Azores,10B6,7403:103:488:4,40.875,-33.875
"POLYGON ((-34.7 39.3,-34.7 39.35,-34.65 39.35,-34.65 39.3,-34.7 39.3))",Static,0.08420875,Azores,07B5,7303:394:236:2,39.325,-34.675
"POLYGON ((-21.45 38.2,-21.45 38.25,-21.4 38.25,-21.4 38.2,-21.45 38.2))",Static,0.1428685,Azores,05C8,7302:381:124:1,38.225,-21.425
"POLYGON ((-31.6 37.0,-31.6 37.05,-31.55 37.05,-31.55 37.0,-31.6 37.0))",Static,0.077870918125,Azores,03B8,7303:371:205:2,37.025,-31.575
"POLYGON ((-35.55 39.7,-35.55 39.75,-35.5 39.75,-35.5 39.7,-35.55 39.7))",Static,0.420440358125,Azores,08B4,7303:495:475:1,39.725,-35.525
"POLYGON ((-30.85 37.3,-30.85 37.35,-30.8 37.35,-30.8 37.3,-30.85 37.3))",Static,0.099192725,Azores,03B9,7303:370:238:1,37.325,-30.825
"POLYGON ((-30.85 42.1,-30.85 42.15,-30.8 42.15,-30.8 42.1,-30.85 42.1))",Static,0.124062,Azores,13B9,7403:120:218:1,42.125,-30.825
"POLYGON ((-34.45 37.75,-34.45 37.8,-34.4 37.8,-34.4 37.75,-34.45 37.75))",Static,0.112715175,Azores,04B5,7303:374:374:3,37.775,-34.425
"POLYGON ((-34.95 38.8,-34.95 38.85,-34.9 38.85,-34.9 38.8,-34.95 38.8))",Static,0.1110303,Azores,06B5,7303:384:489:1,38.825,-34.925
"POLYGON ((-31.5 36.65,-31.5 36.7,-31.45 36.7,-31.45 36.65,-31.5 36.65))",Static,0.0775338145833332,Azores,02B8,7303:361:364:4,36.675,-31.475
"POLYGON ((-33.5 38.0,-33.5 38.05,-33.45 38.05,-33.45 38.0,-33.5 38.0))",Static,0.0771308458333333,Azores,05B6,7303:383:104:2,38.025,-33.475
"POLYGON ((-31.3 37.5,-31.3 37.55,-31.25 37.55,-31.25 37.5,-31.3 37.5))",Static,0.1263618125,Azores,04B8,7303:371:352:2,37.525,-31.275
"POLYGON ((-23.7 40.7,-23.7 40.75,-23.65 40.75,-23.65 40.7,-23.7 40.7))",Static,0.164206968125,Azores,10C6,7402:103:476:2,40.725,-23.675
"POLYGON ((-28.1 41.35,-28.1 41.4,-28.05 41.4,-28.05 41.35,-28.1 41.35))",Static,0.21139875,Azores,11C1,7402:218:130:4,41.375,-28.075
"POLYGON ((-25.3 41.7,-25.3 41.75,-25.25 41.75,-25.25 41.7,-25.3 41.7))",Static,0.0422816666666668,Azores,12C4,7402:215:372:2,41.725,-25.275
"POLYGON ((-33.0 41.6,-33.0 41.65,-32.95 41.65,-32.95 41.6,-33.0 41.6))",Static,0.12352725,Azores,12B7,7403:112:469:2,41.625,-32.975
"POLYGON ((-33.15 36.4,-33.15 36.45,-33.1 36.45,-33.1 36.4,-33.15 36.4))",Static,0.126875,Azores,01B6,7303:363:141:1,36.425,-33.125
"POLYGON ((-34.65 38.2,-34.65 38.25,-34.6 38.25,-34.6 38.2,-34.65 38.2))",Static,0.141636875,Azores,05B5,7303:384:226:1,38.225,-34.625
"POLYGON ((-31.5 36.0,-31.5 36.05,-31.45 36.05,-31.45 36.0,-31.5 36.0))",Static,1.00734375,Azores,01B8,7303:361:104:2,36.025,-31.475
"POLYGON ((-30.95 42.45,-30.95 42.5,-30.9 42.5,-30.9 42.45,-30.95 42.45))",Static,0.0511141944444445,Azores,13B9,7403:120:249:3,42.475,-30.925
"POLYGON ((-22.65 38.1,-22.65 38.15,-22.6 38.15,-22.6 38.1,-22.65 38.1))",Static,0.107832287694445,Azores,05C7,7302:382:216:1,38.125,-22.625
"POLYGON ((-21.5 36.9,-21.5 36.95,-21.45 36.95,-21.45 36.9,-21.5 36.9))",Static,0.0959561666666667,Azores,02C8,7302:361:394:2,36.925,-21.475
"POLYGON ((-31.95 36.2,-31.95 36.25,-31.9 36.25,-31.9 36.2,-31.95 36.2))",Static,0.110557675,Azores,01B8,7303:361:229:1,36.225,-31.925
"POLYGON ((-31.2 36.8,-31.2 36.85,-31.15 36.85,-31.15 36.8,-31.2 36.8))",Static,0.0504597083333333,Azores,02B8,7303:361:381:2,36.825,-31.175
"POLYGON ((-31.05 38.3,-31.05 38.35,-31.0 38.35,-31.0 38.3,-31.05 38.3))",Static,1.4895,Azores,05B8,7303:381:130:1,38.325,-31.025
